BuildingType_Campus,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,GroupedPropertyType_Educational Facilities,GroupedPropertyType_Food and Perishables,GroupedPropertyType_Healthcare Facilities,GroupedPropertyType_Hotels and Restaurants,GroupedPropertyType_Office Buildings,GroupedPropertyType_Retail and Others,GroupedPropertyType_Specialized Properties,GroupedPropertyType_Storage and Logistics,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DistanceToDowntown
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1911,1.0,3,56072,0,56072,76.0,57.70000076,67.80000305,81.09999847,92.69999695,3234787.75,3800842.5,0.0,161743.0938,551867.0,26829.20117,2682920.0,146.34,2.61,3.796498454427959
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1999,1.0,4,122942,44891,78051,94.0,68.40000153,69.0,136.6999969,138.6999969,5337334.0,5387530.0,0.0,710354.5,2423730.0,29136.03906,2913604.0,171.64,1.4,2.3899155055352597
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1962,1.0,2,54984,0,54984,71.0,61.40000153,66.0,139.6000061,144.5,3375211.0,3630147.25,0.0,579786.0,1978230.0,13969.80957,1396981.0,87.98,1.6,1.8425534383455677
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008,1.0,6,84103,20732,63371,74.0,58.5,59.79999924,154.1999969,156.6999969,3706100.25,3787499.0,0.0,824351.625,2812688.0,8934.120117,893412.0,67.06,0.8,1.6567589581806643
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1965,1.0,3,179014,0,179014,48.0,93.30000305,92.30000305,213.3999939,210.3000031,16701055.0,16527711.0,0.0,2897562.75,9886484.0,68145.70313,6814570.0,430.84,2.41,1.234165093083162
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1908,1.0,7,76631,0,76631,71.0,94.69999695,94.59999847,172.0,171.6999969,7258758.5,7250730.5,0.0,779819.0,2660742.0,45980.16016,4598016.0,262.75,3.43,0.667821373649339
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1983,1.0,6,99780,9341,90439,,204.5,207.3000031,505.7999878,504.2999878,15473117.0,15684371.0,5327802.5,2973421.25,10145313.0,0.0,0.0,481.97,4.83,0.6644379966483952
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1929,1.0,2,58320,0,58320,96.0,14.60000038,17.20000076,25.79999924,28.79999924,1049748.625,1243027.75,0.0,106038.5,361803.0,6879.452148,687945.0,39.06,0.67,1.958618681254962
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,1.0,5,316306,0,316306,96.0,48.0,48.40000153,144.0,144.3999939,13795954.0,13909270.0,0.0,3772301.0,12871091.0,9248.610352,924861.0,138.85,0.44,2.1485258307516353
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1990,1.0,7,282863,44766,238097,37.0,82.5,85.59999847,184.0,189.1999969,19459304.0,20194606.0,0.0,3218245.0,10980652.0,84786.50781,8478651.0,526.85,1.86,2.380254625110922
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1962,1.0,1,389000,0,389000,,64.30000305,64.5,151.6000061,152.1000061,23658978.0,23736924.0,6093150.0,4226010.0,14419146.0,6886.799805,688680.0,607.41,1.56,2.43898877507852
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1962,1.0,1,91213,0,91213,,125.1999969,125.9000015,261.7000122,265.3999939,8141155.5,8181881.0,4120130.0,1100268.125,3754115.0,0.0,0.0,344.2,3.77,2.43898877507852
