Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_TotalGHGEmissions
EAST,Bâtiments Éducatifs et Culturels,1915.0,1.0,3.0,63330.0,,1.4183235450213876,4.321878461837604
DELRIDGE,Bâtiments Éducatifs et Culturels,1970.0,27.0,2.0,441071.0,,6.614248446077257,6.765304224182961
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,2.0,96300.0,,9.657649930236186,5.407261453537216
GREATER DUWAMISH,Bâtiments Autres,1950.0,1.0,1.0,67356.0,,1.4013254166222548,5.3234001469155
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1958.0,1.0,1.0,54765.0,,8.304122199619414,4.130515758526928
GREATER DUWAMISH,Bâtiments Autres,2009.0,1.0,5.0,89821.0,,8.410623865183291,4.6196646321385435
MAGNOLIA / QUEEN ANNE,Bâtiments Éducatifs et Culturels,1980.0,1.0,2.0,52611.0,,5.566832264772774,4.656433479925633
NORTH,Bâtiments Éducatifs et Culturels,2011.0,1.0,2.0,236758.0,96.0,11.780768987951683,5.410663426379575
CENTRAL,Bâtiments Autres,1971.0,3.0,6.0,250981.0,,1.3623657005091443,6.048293740094025
DOWNTOWN,Bâtiments Autres,2004.0,1.0,11.0,230638.0,,1.2211586742022917,7.628916379747266
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,2007.0,1.0,3.0,64015.0,21.0,7.765906938142737,3.923556241241819
NORTH,Bâtiments de Vente et de Services,1951.0,1.0,1.0,530039.0,98.0,11.421117714265959,6.585440353035913
NORTH,Bâtiments Autres,1964.0,1.0,3.0,54224.0,,11.334412466173395,5.4490192489615294
NORTH,Bâtiments de Vente et de Services,1965.0,1.0,4.0,124342.0,76.0,11.264255659167361,4.209160236650682
NORTHEAST,Bâtiments de Soins de Santé,1953.0,6.0,10.0,879000.0,10.0,7.4790680289587375,9.005346121182038
NORTHWEST,Bâtiments Autres,1996.0,1.0,3.0,55442.0,72.0,11.624133467048985,4.439115601658009
EAST,Bâtiments Industriels et de Stockage,1910.0,1.0,5.0,84870.0,,1.4834837296577705,3.9533568689211234
NORTHWEST,Bâtiments Éducatifs et Culturels,1970.0,11.0,2.0,582447.0,,10.489899207871458,5.8966592398340705
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1904.0,1.0,4.0,114297.0,61.0,6.05228280080031,4.254761283628006
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1937.0,1.0,1.0,234144.0,87.0,5.114751301291409,5.698535399469211
DELRIDGE,Bâtiments de Vente et de Services,1966.0,1.0,1.0,64984.0,72.0,9.493364993203002,3.604954219176175
DELRIDGE,Bâtiments de Vente et de Services,1965.0,1.0,1.0,67745.0,37.0,9.493364993203002,5.913881312449602
DELRIDGE,Bâtiments Éducatifs et Culturels,2010.0,1.0,2.0,367884.0,97.0,8.761524885808365,5.61258051122973
BALLARD,Bâtiments Autres,1973.0,1.0,3.0,56000.0,,9.352171103446283,4.099995233730915
