Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_SiteEnergyUseWN(kBtu)
GREATER DUWAMISH,Bâtiments Autres,1950.0,1.0,1.0,,1.4013254166222548,0.0,1.0,15.905759921657518
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1958.0,1.0,1.0,,8.304122199619414,0.0,1.0,15.320403733014063
GREATER DUWAMISH,Bâtiments Autres,2009.0,1.0,5.0,,8.410623865183291,0.0,1.0,14.613376923573528
MAGNOLIA / QUEEN ANNE,Bâtiments Éducatifs et Culturels,1980.0,1.0,2.0,,5.566832264772774,0.0,1.0,15.29487600307429
NORTH,Bâtiments Éducatifs et Culturels,2011.0,1.0,2.0,96.0,11.780768987951683,0.0,1.0,16.044176522510963
CENTRAL,Bâtiments Autres,1971.0,3.0,6.0,,1.3623657005091443,0.0,1.0,16.46848452891792
DOWNTOWN,Bâtiments Autres,2004.0,1.0,11.0,,1.2211586742022917,0.22881599625505736,0.7711840037449427,18.005169799980575
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,2007.0,1.0,3.0,21.0,7.765906938142737,0.0,1.0,15.031910993386816
NORTH,Bâtiments de Vente et de Services,1951.0,1.0,1.0,98.0,11.421117714265959,0.0,1.0,17.17461774544749
NORTH,Bâtiments Autres,1964.0,1.0,3.0,,11.334412466173395,0.0,1.0,15.85267214176995
NORTH,Bâtiments de Vente et de Services,1965.0,1.0,4.0,76.0,11.264255659167361,0.0,1.0,15.982266649422225
NORTHEAST,Bâtiments de Soins de Santé,1953.0,6.0,10.0,10.0,7.4790680289587375,0.0,1.0,19.367555806403008
NORTHWEST,Bâtiments Autres,1996.0,1.0,3.0,72.0,11.624133467048985,0.0,1.0,15.013484806876807
EAST,Bâtiments Industriels et de Stockage,1910.0,1.0,5.0,,1.4834837296577705,0.0,1.0,14.296579150342621
NORTHWEST,Bâtiments Éducatifs et Culturels,1970.0,11.0,2.0,,10.489899207871458,0.16082625433672587,0.8391737456632741,17.43747001748244
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1904.0,1.0,4.0,61.0,6.05228280080031,0.0,1.0,14.697401752119312
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1937.0,1.0,1.0,87.0,5.114751301291409,0.0,1.0,15.879198599805603
DELRIDGE,Bâtiments de Vente et de Services,1966.0,1.0,1.0,72.0,9.493364993203002,0.0,1.0,14.919566171488926
DELRIDGE,Bâtiments de Vente et de Services,1965.0,1.0,1.0,37.0,9.493364993203002,0.0,1.0,16.07620318785763
DELRIDGE,Bâtiments Éducatifs et Culturels,2010.0,1.0,2.0,97.0,8.761524885808365,0.0,1.0,16.401720378507022
BALLARD,Bâtiments Autres,1973.0,1.0,3.0,,9.352171103446283,0.0,1.0,14.552186047669244
SOUTHWEST,Bâtiments Industriels et de Stockage,1969.0,1.0,2.0,,7.432807129199432,0.0,1.0,14.2704791471994
LAKE UNION,Bâtiments d'Hébergement,1998.0,1.0,5.0,79.0,2.7681240625353674,0.2420916720464816,0.7579083279535184,16.08524017264672
LAKE UNION,Bâtiments Autres,1900.0,1.0,1.0,,2.5203808565802803,0.0,1.0,15.887743492454318
MAGNOLIA / QUEEN ANNE,Bâtiments Industriels et de Stockage,1926.0,1.0,2.0,,2.3863293114189013,0.0,1.0,12.97264380321185
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1998.0,1.0,7.0,76.0,2.587544785782226,0.2616875987209616,0.7383124012790384,16.279711652939707
NORTHWEST,Bâtiments Commerciaux et Administratifs,1957.0,1.0,2.0,,10.625941490515755,0.0,1.0,16.1186448001483
NORTHWEST,Bâtiments d'Hébergement,1968.0,1.0,4.0,70.0,11.579966889359742,0.0,1.0,15.641953298245786
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,3.0,78.0,0.4563584472454095,0.0,1.0,14.359028322363152
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,6.0,,1.0749984020704002,0.20661302933239173,0.7933869706676082,17.945227170704037
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1924.0,1.0,2.0,,3.6946933471813983,0.0,1.0,16.134807624748603
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1965.0,1.0,2.0,,3.6946933471813983,0.0,1.0,15.280515470600804
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,3.0,,1.574664861456401,0.0,1.0,17.86567661345958
GREATER DUWAMISH,Bâtiments d'Hébergement,2005.0,1.0,9.0,64.0,1.3701133808763424,0.08647721268751966,0.9135227873124804,16.370536144989142
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1916.0,1.0,4.0,34.0,3.782417716850543,0.0,1.0,14.695719397429222
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1980.0,14.0,2.0,,9.116373217934585,0.09532610776150828,0.9046738922384917,17.807011231461143
NORTH,Bâtiments Autres,2008.0,1.0,6.0,,10.891212088468446,0.7981674320230179,0.20183256797698215,16.03894345499484
DOWNTOWN,Bâtiments d'Hébergement,1999.0,1.0,1.0,,0.860533030259317,0.0,1.0,18.012755166370237
CENTRAL,Bâtiments de Soins de Santé,1990.0,6.0,5.0,34.0,1.8141961545191834,0.0,1.0,18.807975479511484
LAKE UNION,Bâtiments Industriels et de Stockage,1991.0,1.0,3.0,91.0,5.151055622692895,0.10824038091701262,0.8917596190829874,13.256262077563179
EAST,Bâtiments de Soins de Santé,2000.0,9.0,8.0,29.0,0.7477657801151478,0.0,1.0,19.50813684985337
NORTHEAST,Bâtiments Éducatifs et Culturels,1928.0,1.0,2.0,98.0,6.909271496404259,0.0,1.0,14.284205988140624
NORTHEAST,Bâtiments d'Hébergement,1931.0,1.0,16.0,49.0,6.442265109049707,0.0,1.0,16.35050953960626
NORTH,Bâtiments Commerciaux et Administratifs,1972.0,1.0,5.0,62.0,12.999689214873225,0.0,1.0,15.015997794751328
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,2.0,46.0,6.537829461074722,0.0,1.0,14.831757568879869
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,3.0,42.0,6.61197499508935,0.0,1.0,15.500386685957315
DOWNTOWN,Bâtiments Autres,1914.0,1.0,7.0,,0.6752528008843178,0.0,1.0,15.61679303903496
DOWNTOWN,Bâtiments Autres,1955.0,1.0,15.0,,0.23794502463863396,0.0,1.0,17.93738690177141
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1973.0,1.0,1.0,,5.1108768938631846,0.0,1.0,15.089957016876511
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1927.0,1.0,5.0,1.0,2.5909083513838214,0.20526315789473684,0.7947368421052632,17.17350474424078
DOWNTOWN,Bâtiments d'Hébergement,1961.0,1.0,4.0,8.0,1.52890285042844,0.0,1.0,17.07828915647559
DOWNTOWN,Bâtiments Autres,1995.0,4.0,3.0,,1.386945891954826,0.0,1.0,17.01851578855239
DOWNTOWN,Bâtiments d'Hébergement,2003.0,1.0,8.0,29.0,1.1592039177351021,0.15259189925788424,0.8474081007421158,17.1051019243377
DOWNTOWN,Bâtiments Autres,1980.0,1.0,2.0,,0.6882304760570503,0.0,1.0,16.538796831714414
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1914.0,1.0,4.0,98.0,0.2958437980008188,0.0,1.0,14.221601803340914
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,2008.0,1.0,4.0,72.0,1.3180575051366632,0.0,1.0,15.187891829363311
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,3.0,20.0,1.9246805276032395,0.2653622411499593,0.7346377588500407,16.107294225026465
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1981.0,1.0,4.0,57.0,1.824301441927226,0.23826324328500426,0.7617367567149957,15.458129345782602
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1978.0,1.0,12.0,39.0,1.553146733044462,0.09311965811965812,0.9068803418803418,16.749969533732056
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1989.0,1.0,25.0,74.0,0.8344661330621196,0.0,1.0,17.024541561213013
DOWNTOWN,Bâtiments de Vente et de Services,1925.0,1.0,10.0,93.0,0.834013711282637,0.0,1.0,17.505332992332544
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1976.0,1.0,33.0,89.0,0.907357484352722,0.0,1.0,17.55857997581532
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2000.0,1.0,23.0,90.0,1.0056130324883759,0.2742585393187803,0.7257414606812197,17.271628638686163
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1926.0,1.0,10.0,90.0,0.9775962036117958,0.12233279187497043,0.8776672081250295,15.157493379636154
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1930.0,1.0,17.0,91.0,0.9837064823193604,0.14649152790663605,0.8535084720933639,15.905081127401322
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1916.0,1.0,5.0,61.0,0.9042320632775912,0.0,1.0,15.199845187564142
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,20.0,90.0,1.0265969543632494,0.12162451899748355,0.8783754810025165,16.571893104167042
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,25.0,95.0,1.228363575296688,0.30165571082379233,0.6983442891762077,17.112014645771065
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,12.0,91.0,1.3876182458257516,0.0,1.0,16.021142912893474
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,36.0,97.0,1.1833943809981855,0.187870581061406,0.812129418938594,17.488261062058804
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,16.0,94.0,1.1290005652185096,0.2944846518592463,0.7055153481407537,16.731592134498513
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,7.0,85.0,0.26243247494373967,0.0,1.0,15.23507805251312
