Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_TotalGHGEmissions
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,12.0,91.0,1.3876182458257516,0.0,1.0,5.408023426636094
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,36.0,97.0,1.1833943809981855,0.187870581061406,0.812129418938594,5.622355475960472
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,16.0,94.0,1.1290005652185096,0.2944846518592463,0.7055153481407537,4.880754373241736
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,7.0,85.0,0.26243247494373967,0.0,1.0,3.964046033495298
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,6.0,66.0,0.31399890430588384,0.0,1.0,3.49559805708364
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1922.0,1.0,15.0,89.0,0.16612132157566206,0.0,1.0,5.367050204229129
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1929.0,1.0,22.0,98.0,0.1502370429105262,0.0,1.0,4.264790324535862
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1983.0,1.0,47.0,94.0,0.05063691673978152,0.0,1.0,5.768227241398966
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1986.0,1.0,41.0,84.0,0.13509377424283028,0.21940564923099873,0.7805943507690013,5.150513171779642
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1950.0,1.0,6.0,,0.17740179276297124,0.015281421874828468,0.9847185781251715,3.861992071822581
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,8.0,81.0,0.24524973145750903,0.39883880689624607,0.6011611931037539,3.299533727885655
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1991.0,1.0,29.0,95.0,0.2673809164336684,0.3104518631267285,0.6895481368732715,4.946772100429302
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,34.0,81.0,0.21483386075238944,0.20933567810989723,0.7906643218901027,5.448115731636431
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1972.0,1.0,14.0,95.0,0.20206323150005695,0.1272969673605757,0.8727030326394243,5.391488897435831
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,49.0,89.0,0.1281892615192152,0.32843911752793886,0.6715608824720611,6.443924558074251
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,37.0,93.0,0.06131572439132687,0.15622312866222188,0.8437768713377781,5.664070974419973
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1973.0,1.0,42.0,28.0,0.1942700103341139,0.27765006054875957,0.7223499394512405,6.3056363967697555
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1907.0,1.0,8.0,91.0,0.08162094769803738,0.0,1.0,5.175867206791472
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,63.0,89.0,0.2796303405883884,0.11778710792059259,0.8822128920794075,6.0644129186132485
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2001.0,1.0,14.0,,0.3433224637793253,0.0,1.0,5.943770032495302
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2003.0,1.0,8.0,69.0,0.32342134017863805,0.1536611035934446,0.8463388964065554,5.702481628923153
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2006.0,1.0,13.0,98.0,0.47263098400612463,0.14158262635597274,0.8584173736440273,5.381002733166644
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1909.0,1.0,7.0,99.0,0.5359213717782795,0.07252065212640413,0.9274793478735959,4.26507138131118
NORTHEAST,Bâtiments de Vente et de Services,1978.0,1.0,2.0,83.0,6.336535441412469,0.0,1.0,4.50501830403765
NORTHEAST,Bâtiments Commerciaux et Administratifs,1971.0,1.0,23.0,77.0,6.355135458378518,0.0,1.0,5.29501190953931
NORTHEAST,Bâtiments Autres,1969.0,1.0,5.0,96.0,6.334464586501841,0.0,1.0,5.3490580082512205
NORTHEAST,Bâtiments Commerciaux et Administratifs,1961.0,1.0,5.0,70.0,6.359757060200648,0.0,1.0,4.787741711537254
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,88.0,6.312084872397068,0.32763918815854753,0.6723608118414525,3.4613513044819024
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,5.0,93.0,6.232442440948611,0.37489406251557905,0.625105937484421,3.9144201300278674
DOWNTOWN,Bâtiments Industriels et de Stockage,1964.0,1.0,5.0,,1.215037935066038,0.0,1.0,1.958685340544036
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,18.0,79.0,1.235528950513338,0.156291166624367,0.843708833375633,5.13509230544507
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1979.0,1.0,24.0,79.0,1.2289753337146283,0.2146095801248814,0.7853904198751186,5.178576164935488
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1982.0,1.0,6.0,64.0,2.0158595800013037,0.31318168753435227,0.6868183124656477,4.9624949187683205
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,74.0,1.4361330179890126,0.2907806352640788,0.7092193647359212,4.653674595047707
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1947.0,1.0,3.0,94.0,1.5907941848116383,0.25184031563100245,0.7481596843689976,3.8507856959569566
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1984.0,1.0,8.0,3.0,2.239886067018415,0.244904248468015,0.755095751531985,5.346107030383885
NORTHWEST,Bâtiments de Vente et de Services,1956.0,1.0,1.0,54.0,11.007668592526535,0.0,1.0,5.953944387194059
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,5.0,77.0,0.32724891032346354,0.0,1.0,3.2546289945740186
