Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_SiteEnergyUseWN(kBtu)
DOWNTOWN,Bâtiments Autres,1914.0,1.0,7.0,128766.0,,0.6752528008843178,15.61679303903496
DOWNTOWN,Bâtiments Autres,1955.0,1.0,15.0,230880.0,,0.23794502463863396,17.93738690177141
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1973.0,1.0,1.0,76086.0,,5.1108768938631846,15.089957016876511
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1927.0,1.0,5.0,151000.0,1.0,2.5909083513838214,17.17350474424078
DOWNTOWN,Bâtiments d'Hébergement,1961.0,1.0,4.0,122309.0,8.0,1.52890285042844,17.07828915647559
DOWNTOWN,Bâtiments Autres,1995.0,4.0,3.0,215476.0,,1.386945891954826,17.01851578855239
DOWNTOWN,Bâtiments d'Hébergement,2003.0,1.0,8.0,215473.0,29.0,1.1592039177351021,17.1051019243377
DOWNTOWN,Bâtiments Autres,1980.0,1.0,2.0,69400.0,,0.6882304760570503,16.538796831714414
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1914.0,1.0,4.0,56500.0,98.0,0.2958437980008188,14.221601803340914
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,2008.0,1.0,4.0,203504.0,72.0,1.3180575051366632,15.187891829363311
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,3.0,74003.0,20.0,1.9246805276032395,16.107294225026465
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1981.0,1.0,4.0,59158.0,57.0,1.824301441927226,15.458129345782602
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1978.0,1.0,12.0,212210.0,39.0,1.553146733044462,16.749969533732056
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1989.0,1.0,25.0,369996.0,74.0,0.8344661330621196,17.024541561213013
DOWNTOWN,Bâtiments de Vente et de Services,1925.0,1.0,10.0,693450.0,93.0,0.834013711282637,17.505332992332544
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1976.0,1.0,33.0,791396.0,89.0,0.907357484352722,17.55857997581532
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2000.0,1.0,23.0,542671.0,90.0,1.0056130324883759,17.271628638686163
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1926.0,1.0,10.0,55652.0,90.0,0.9775962036117958,15.157493379636154
